Erfassungsdatum;Datum;Zählerstand;Ertrag
01.07.2022 00:01:00;2022-07-01 00:01:00;3.665,000;0,000
01.07.2022 00:16:00;2022-07-01 00:16:00;3.665,000;0,000
01.07.2022 00:31:00;2022-07-01 00:31:00;3.665,000;0,000
01.07.2022 00:45:00;2022-07-01 00:45:00;3.665,000;0,000
01.07.2022 01:01:00;2022-07-01 01:01:00;3.665,000;0,000
01.07.2022 01:15:00;2022-07-01 01:15:00;3.665,000;0,000
01.07.2022 01:30:00;2022-07-01 01:30:00;3.665,000;0,000
01.07.2022 01:45:00;2022-07-01 01:45:00;3.665,000;0,000
01.07.2022 02:01:00;2022-07-01 02:01:00;3.665,000;0,000
01.07.2022 02:15:00;2022-07-01 02:15:00;3.665,000;0,000
01.07.2022 02:30:00;2022-07-01 02:30:00;3.665,000;0,000
01.07.2022 02:45:00;2022-07-01 02:45:00;3.665,000;0,000
01.07.2022 03:00:00;2022-07-01 03:00:00;3.665,000;0,000
01.07.2022 03:15:00;2022-07-01 03:15:00;3.665,000;0,000
01.07.2022 03:30:00;2022-07-01 03:30:00;3.665,000;0,000
01.07.2022 03:45:00;2022-07-01 03:45:00;3.665,000;0,000
01.07.2022 04:01:00;2022-07-01 04:01:00;3.665,000;0,000
01.07.2022 04:15:00;2022-07-01 04:15:00;3.665,000;0,000
01.07.2022 04:30:00;2022-07-01 04:30:00;3.665,000;0,000
01.07.2022 04:46:00;2022-07-01 04:46:00;3.665,000;0,000
01.07.2022 05:01:00;2022-07-01 05:01:00;3.665,000;0,000
01.07.2022 05:15:00;2022-07-01 05:15:00;3.665,000;0,000
01.07.2022 05:30:00;2022-07-01 05:30:00;3.665,000;0,000
01.07.2022 05:45:00;2022-07-01 05:45:00;3.665,500;0,500
01.07.2022 06:00:00;2022-07-01 06:00:00;3.665,500;0,000
01.07.2022 06:15:00;2022-07-01 06:15:00;3.666,000;0,500
01.07.2022 06:30:00;2022-07-01 06:30:00;3.666,500;0,500
01.07.2022 06:46:00;2022-07-01 06:46:00;3.667,000;0,500
01.07.2022 07:00:00;2022-07-01 07:00:00;3.667,000;0,000
01.07.2022 07:15:00;2022-07-01 07:15:00;3.667,500;0,500
01.07.2022 07:30:00;2022-07-01 07:30:00;3.669,500;2,000
01.07.2022 07:45:00;2022-07-01 07:45:00;3.670,500;1,000
01.07.2022 08:00:00;2022-07-01 08:00:00;3.671,000;0,500
01.07.2022 08:15:00;2022-07-01 08:15:00;3.672,000;1,000
01.07.2022 08:30:00;2022-07-01 08:30:00;3.673,000;1,000
01.07.2022 08:45:00;2022-07-01 08:45:00;3.673,500;0,500
01.07.2022 09:01:00;2022-07-01 09:01:00;3.673,500;0,000
01.07.2022 09:16:00;2022-07-01 09:16:00;3.674,000;0,500
01.07.2022 09:30:00;2022-07-01 09:30:00;3.674,000;0,000
01.07.2022 09:45:00;2022-07-01 09:45:00;3.674,500;0,500
01.07.2022 10:00:00;2022-07-01 10:00:00;3.675,500;1,000
01.07.2022 10:15:00;2022-07-01 10:15:00;3.676,500;1,000
01.07.2022 10:31:00;2022-07-01 10:31:00;3.679,000;2,500
01.07.2022 10:45:00;2022-07-01 10:45:00;3.685,500;6,500
01.07.2022 11:00:00;2022-07-01 11:00:00;3.694,500;9,000
01.07.2022 11:15:00;2022-07-01 11:15:00;3.704,000;9,500
01.07.2022 11:30:00;2022-07-01 11:30:00;3.711,500;7,500
01.07.2022 11:45:00;2022-07-01 11:45:00;3.717,500;6,000
01.07.2022 12:00:00;2022-07-01 12:00:00;3.727,000;9,500
01.07.2022 12:15:00;2022-07-01 12:15:00;3.737,500;10,500
01.07.2022 12:30:00;2022-07-01 12:30:00;3.741,500;4,000
01.07.2022 12:46:00;2022-07-01 12:46:00;3.745,500;4,000
01.07.2022 13:00:00;2022-07-01 13:00:00;3.748,000;2,500
01.07.2022 13:16:00;2022-07-01 13:16:00;3.749,500;1,500
01.07.2022 13:30:00;2022-07-01 13:30:00;3.752,500;3,000
01.07.2022 13:45:00;2022-07-01 13:45:00;3.756,000;3,500
01.07.2022 14:00:00;2022-07-01 14:00:00;3.759,000;3,000
01.07.2022 14:15:00;2022-07-01 14:15:00;3.763,500;4,500
01.07.2022 14:30:00;2022-07-01 14:30:00;3.766,000;2,500
01.07.2022 14:45:00;2022-07-01 14:45:00;3.770,000;4,000
01.07.2022 15:00:00;2022-07-01 15:00:00;3.774,500;4,500
01.07.2022 15:15:00;2022-07-01 15:15:00;3.779,000;4,500
01.07.2022 15:30:00;2022-07-01 15:30:00;3.782,000;3,000
01.07.2022 15:45:00;2022-07-01 15:45:00;3.790,000;8,000
01.07.2022 16:01:00;2022-07-01 16:01:00;3.798,500;8,500
01.07.2022 16:16:00;2022-07-01 16:16:00;3.804,500;6,000
01.07.2022 16:30:00;2022-07-01 16:30:00;3.808,500;4,000
01.07.2022 16:45:00;2022-07-01 16:45:00;3.813,500;5,000
01.07.2022 17:00:00;2022-07-01 17:00:00;3.819,500;6,000
01.07.2022 17:15:00;2022-07-01 17:15:00;3.822,000;2,500
01.07.2022 17:31:00;2022-07-01 17:31:00;3.824,000;2,000
01.07.2022 17:45:00;2022-07-01 17:45:00;3.826,500;2,500
01.07.2022 18:00:00;2022-07-01 18:00:00;3.828,000;1,500
01.07.2022 18:15:00;2022-07-01 18:15:00;3.829,500;1,500
01.07.2022 18:31:00;2022-07-01 18:31:00;3.830,000;0,500
01.07.2022 18:46:00;2022-07-01 18:46:00;3.830,500;0,500
01.07.2022 19:01:00;2022-07-01 19:01:00;3.831,500;1,000
01.07.2022 19:16:00;2022-07-01 19:16:00;3.832,500;1,000
01.07.2022 19:31:00;2022-07-01 19:31:00;3.833,000;0,500
01.07.2022 19:46:00;2022-07-01 19:46:00;3.834,000;1,000
01.07.2022 20:01:00;2022-07-01 20:01:00;3.834,500;0,500
