timestamp;formatted_timestamp;meter_reading;consumption
01.07.2022 00:01:00;2022-07-01 00:01:00;665370;
01.07.2022 00:16:09;2022-07-01 00:16:09;665373;3
01.07.2022 00:31:01;2022-07-01 00:31:01;665377;3
01.07.2022 00:45:57;2022-07-01 00:45:57;665380;3
01.07.2022 01:01:01;2022-07-01 01:01:01;665383;3
01.07.2022 01:15:52;2022-07-01 01:15:52;665386;3
01.07.2022 01:30:50;2022-07-01 01:30:50;665390;3
01.07.2022 01:45:51;2022-07-01 01:45:51;665393;3
01.07.2022 02:01:04;2022-07-01 02:01:04;665396;3
01.07.2022 02:15:58;2022-07-01 02:15:58;665399;3
01.07.2022 02:30:51;2022-07-01 02:30:51;665403;3
01.07.2022 02:45:56;2022-07-01 02:45:56;665406;3
01.07.2022 03:00:56;2022-07-01 03:00:56;665409;3
01.07.2022 03:15:57;2022-07-01 03:15:57;665412;3
01.07.2022 03:30:59;2022-07-01 03:30:59;665415;3
01.07.2022 03:45:55;2022-07-01 03:45:55;665418;3
01.07.2022 04:01:02;2022-07-01 04:01:02;665421;3
01.07.2022 04:15:51;2022-07-01 04:15:51;665424;3
01.07.2022 04:30:59;2022-07-01 04:30:59;665427;3
01.07.2022 04:46:02;2022-07-01 04:46:02;665431;3
01.07.2022 05:01:01;2022-07-01 05:01:01;665434;4
01.07.2022 05:15:54;2022-07-01 05:15:54;665438;4
01.07.2022 05:30:56;2022-07-01 05:30:56;665442;4
01.07.2022 05:45:57;2022-07-01 05:45:57;665446;4
01.07.2022 06:00:54;2022-07-01 06:00:54;665452;6
01.07.2022 06:15:58;2022-07-01 06:15:58;665460;7
01.07.2022 06:30:50;2022-07-01 06:30:50;665468;8
01.07.2022 06:46:01;2022-07-01 06:46:01;665479;11
01.07.2022 07:00:54;2022-07-01 07:00:54;665487;8
01.07.2022 07:15:58;2022-07-01 07:15:58;665499;12
01.07.2022 07:30:54;2022-07-01 07:30:54;665509;10
01.07.2022 07:45:59;2022-07-01 07:45:59;665519;10
01.07.2022 08:00:57;2022-07-01 08:00:57;665531;12
01.07.2022 08:15:59;2022-07-01 08:15:59;665544;13
01.07.2022 08:30:57;2022-07-01 08:30:57;665557;13
01.07.2022 08:45:57;2022-07-01 08:45:57;665572;15
01.07.2022 09:01:01;2022-07-01 09:01:01;665590;18
01.07.2022 09:16:08;2022-07-01 09:16:08;665607;17
01.07.2022 09:30:59;2022-07-01 09:30:59;665623;16
01.07.2022 09:45:51;2022-07-01 09:45:51;665640;16
01.07.2022 10:00:57;2022-07-01 10:00:57;665658;18
01.07.2022 10:15:58;2022-07-01 10:15:58;665675;18
01.07.2022 10:31:00;2022-07-01 10:31:00;665690;15
01.07.2022 10:45:55;2022-07-01 10:45:55;665702;12
01.07.2022 11:00:55;2022-07-01 11:00:55;665713;10
01.07.2022 11:15:58;2022-07-01 11:15:58;665722;10
01.07.2022 11:30:59;2022-07-01 11:30:59;665733;10
01.07.2022 11:45:59;2022-07-01 11:45:59;665744;12
01.07.2022 12:00:53;2022-07-01 12:00:53;665752;8
01.07.2022 12:15:56;2022-07-01 12:15:56;665760;7
01.07.2022 12:30:54;2022-07-01 12:30:54;665773;14
01.07.2022 12:46:04;2022-07-01 12:46:04;665788;15
01.07.2022 13:00:52;2022-07-01 13:00:52;665804;16
